respondent_id,age,years_education,highest_degree,bachelors_or_more,annual_family_income,employment_status,sex,race
3357,32.0,12.0,high school,0.0,63300.0,working full time,male,white
3359,38.0,12.0,high school,0.0,63300.0,working full time,male,white
3363,42.0,16.0,bachelor's,1.0,158424.85359,working part time,female,white
3365,63.0,14.0,associate/junior college,0.0,52222.5,working full time,male,white
3367,35.0,17.0,graduate,1.0,,working full time,male,white
3368,39.0,16.0,bachelor's,1.0,42727.5,working full time,female,white
3369,40.0,13.0,high school,0.0,63300.0,working full time,male,white
3377,53.0,14.0,associate/junior college,0.0,20572.5,working full time,female,white
3379,42.0,14.0,associate/junior college,0.0,75960.0,working full time,female,white
3384,27.0,14.0,high school,0.0,52222.5,working full time,male,white
3385,29.0,20.0,graduate,1.0,42727.5,working full time,female,white
3387,41.0,12.0,high school,0.0,63300.0,working full time,male,white
3389,64.0,12.0,high school,0.0,158424.85359,working full time,male,white
3392,35.0,14.0,high school,0.0,52222.5,working full time,female,white
3394,42.0,12.0,high school,0.0,11868.75,working full time,male,white
3396,39.0,15.0,high school,0.0,88620.0,working full time,male,white
3397,31.0,12.0,high school,0.0,10286.25,working full time,male,white
3402,47.0,12.0,less than high school,0.0,1266.0,working part time,female,white
3403,45.0,14.0,associate/junior college,0.0,28485.0,working full time,male,white
3404,50.0,16.0,bachelor's,1.0,52222.5,working full time,female,white
3406,55.0,17.0,bachelor's,1.0,17407.5,working full time,female,white
3411,40.0,15.0,high school,0.0,23737.5,working full time,male,white
3413,33.0,15.0,high school,0.0,75960.0,working full time,male,white
3414,43.0,14.0,graduate,1.0,63300.0,working full time,female,white
3415,61.0,14.0,associate/junior college,0.0,23737.5,working full time,female,white
3422,33.0,3.0,less than high school,0.0,1266.0,working part time,male,other
3423,55.0,15.0,associate/junior college,0.0,28485.0,working full time,female,white
3431,49.0,12.0,high school,0.0,28485.0,working full time,male,white
3433,26.0,12.0,high school,0.0,,working part time,female,other
3434,25.0,13.0,high school,0.0,17407.5,working full time,female,black
3435,54.0,16.0,bachelor's,1.0,88620.0,working full time,male,white
3436,50.0,12.0,high school,0.0,28485.0,working full time,male,white
3437,38.0,14.0,bachelor's,1.0,20572.5,working full time,female,black
3440,54.0,12.0,high school,0.0,88620.0,working full time,male,white
3444,29.0,11.0,less than high school,0.0,34815.0,temporarily not at work,male,black
3450,51.0,12.0,high school,0.0,20572.5,working full time,male,white
3452,33.0,19.0,graduate,1.0,75960.0,working full time,female,white
3454,49.0,12.0,high school,0.0,52222.5,working full time,male,white
3456,40.0,18.0,bachelor's,1.0,28485.0,working full time,female,white
3457,33.0,14.0,associate/junior college,0.0,42727.5,working full time,female,white
3458,55.0,12.0,high school,0.0,63300.0,working full time,male,black
3464,51.0,11.0,less than high school,0.0,75960.0,working full time,male,white
3466,28.0,13.0,high school,0.0,,working full time,female,white
3467,34.0,9.0,less than high school,0.0,,temporarily not at work,male,white
3468,29.0,15.0,high school,0.0,34815.0,working full time,male,white
3469,40.0,16.0,bachelor's,1.0,13451.25,working full time,female,black
3470,33.0,5.0,less than high school,0.0,17407.5,working full time,female,black
3473,59.0,5.0,less than high school,0.0,23737.5,working full time,female,black
3474,28.0,12.0,high school,0.0,,working full time,female,black
3476,42.0,18.0,graduate,1.0,,working full time,female,white
3481,27.0,15.0,high school,0.0,28485.0,working full time,female,black
3482,46.0,12.0,high school,0.0,34815.0,working full time,female,black
3488,31.0,16.0,bachelor's,1.0,63300.0,working full time,male,white
3490,30.0,16.0,bachelor's,1.0,42727.5,working part time,female,white
3494,36.0,18.0,graduate,1.0,75960.0,working full time,male,white
3495,57.0,12.0,high school,0.0,34815.0,working full time,female,white
3497,25.0,12.0,high school,0.0,34815.0,working full time,female,white
3498,42.0,12.0,high school,0.0,63300.0,working full time,male,white
3499,29.0,14.0,associate/junior college,0.0,88620.0,working full time,male,white
3506,54.0,16.0,bachelor's,1.0,34815.0,working full time,female,white
3507,53.0,16.0,bachelor's,1.0,158424.85359,working full time,male,white
3512,27.0,18.0,graduate,1.0,28485.0,working full time,male,white
3513,51.0,20.0,graduate,1.0,63300.0,working full time,male,white
3516,38.0,20.0,graduate,1.0,75960.0,working full time,female,white
3517,25.0,14.0,associate/junior college,0.0,42727.5,working full time,male,white
3521,58.0,12.0,high school,0.0,42727.5,working full time,male,white
3522,30.0,16.0,bachelor's,1.0,63300.0,working full time,male,white
3524,29.0,12.0,high school,0.0,13451.25,working full time,male,white
3525,29.0,12.0,high school,0.0,52222.5,working full time,female,white
3530,60.0,12.0,high school,0.0,42727.5,working full time,female,white
3531,64.0,16.0,bachelor's,1.0,158424.85359,working full time,female,white
3532,61.0,16.0,bachelor's,1.0,34815.0,working full time,male,white
3534,49.0,16.0,bachelor's,1.0,28485.0,working full time,male,white
3535,50.0,12.0,high school,0.0,23737.5,working full time,male,white
3542,29.0,19.0,graduate,1.0,42727.5,working full time,female,white
3543,32.0,15.0,associate/junior college,0.0,88620.0,working full time,male,white
3544,49.0,17.0,graduate,1.0,101280.0,working full time,female,white
3545,50.0,20.0,graduate,1.0,63300.0,working full time,male,white
3546,32.0,16.0,bachelor's,1.0,17407.5,working full time,male,black
3547,52.0,14.0,high school,0.0,34815.0,working full time,male,black
3549,43.0,16.0,bachelor's,1.0,42727.5,working full time,male,black
3551,35.0,19.0,less than high school,0.0,17407.5,working full time,male,black
3552,31.0,13.0,high school,0.0,28485.0,working full time,male,black
3557,49.0,14.0,high school,0.0,42727.5,working full time,male,black
3558,33.0,12.0,high school,0.0,23737.5,temporarily not at work,male,black
3560,36.0,12.0,high school,0.0,101280.0,working full time,male,black
3562,43.0,13.0,high school,0.0,,working full time,male,black
3563,30.0,12.0,high school,0.0,17407.5,working full time,male,black
3569,32.0,,less than high school,0.0,316.5,working full time,female,black
3571,56.0,15.0,less than high school,0.0,158424.85359,working full time,male,black
3573,48.0,12.0,high school,0.0,52222.5,working full time,male,black
3574,58.0,16.0,bachelor's,1.0,158424.85359,temporarily not at work,male,black
3575,35.0,16.0,high school,0.0,34815.0,working full time,male,black
3576,33.0,12.0,less than high school,0.0,316.5,working part time,male,black
3577,43.0,16.0,graduate,1.0,158424.85359,working full time,male,black
3579,28.0,16.0,bachelor's,1.0,52222.5,working full time,male,black
3581,35.0,12.0,high school,0.0,158424.85359,working full time,male,black
3582,36.0,16.0,bachelor's,1.0,42727.5,working full time,female,black
3587,60.0,12.0,high school,0.0,17407.5,working full time,male,black
3591,34.0,16.0,bachelor's,1.0,8703.75,working full time,male,black
3592,30.0,18.0,graduate,1.0,63300.0,working full time,male,black
3597,37.0,16.0,bachelor's,1.0,34815.0,working full time,male,black
3598,42.0,16.0,bachelor's,1.0,42727.5,working full time,male,black
3600,52.0,12.0,high school,0.0,42727.5,working full time,male,black
3601,46.0,14.0,high school,0.0,34815.0,working full time,male,black
3604,26.0,13.0,high school,0.0,17407.5,working part time,male,black
3605,29.0,16.0,bachelor's,1.0,42727.5,working part time,male,black
3607,46.0,13.0,associate/junior college,0.0,158424.85359,working part time,male,black
3611,42.0,16.0,bachelor's,1.0,158424.85359,working full time,male,black
3613,56.0,20.0,bachelor's,1.0,42727.5,working part time,male,black
3614,58.0,12.0,high school,0.0,52222.5,working full time,male,black
3616,39.0,12.0,high school,0.0,2848.5,working full time,male,black
3617,40.0,20.0,graduate,1.0,158424.85359,working full time,male,black
3619,55.0,15.0,associate/junior college,0.0,63300.0,working part time,male,black
3621,26.0,16.0,bachelor's,1.0,63300.0,working full time,male,black
3622,52.0,12.0,high school,0.0,8703.75,working full time,male,black
3623,45.0,13.0,high school,0.0,52222.5,working full time,male,black
3624,26.0,14.0,high school,0.0,34815.0,working full time,female,black
3627,60.0,12.0,high school,0.0,20572.5,working full time,male,black
3630,46.0,16.0,bachelor's,1.0,34815.0,working full time,male,black
3631,32.0,12.0,high school,0.0,28485.0,working full time,male,black
3633,59.0,16.0,bachelor's,1.0,101280.0,working full time,male,black
3634,48.0,14.0,high school,0.0,42727.5,working full time,male,black
3636,36.0,20.0,graduate,1.0,158424.85359,working full time,male,black
3637,27.0,17.0,bachelor's,1.0,23737.5,working full time,female,black
3642,41.0,14.0,less than high school,0.0,42727.5,working full time,female,black
3644,38.0,16.0,bachelor's,1.0,,temporarily not at work,female,black
3646,29.0,16.0,bachelor's,1.0,15033.75,working full time,female,black
3647,28.0,15.0,associate/junior college,0.0,20572.5,working full time,female,black
3650,42.0,12.0,high school,0.0,23737.5,working part time,male,other
3651,42.0,20.0,bachelor's,1.0,42727.5,working full time,female,black
3653,36.0,12.0,high school,0.0,34815.0,working full time,female,black
3655,29.0,14.0,less than high school,0.0,23737.5,working full time,female,black
3656,30.0,13.0,high school,0.0,75960.0,working part time,female,black
3659,54.0,18.0,graduate,1.0,52222.5,working full time,female,black
3660,64.0,19.0,graduate,1.0,42727.5,temporarily not at work,female,black
3661,26.0,15.0,bachelor's,1.0,52222.5,working full time,female,black
3665,54.0,14.0,high school,0.0,42727.5,working full time,female,black
3666,42.0,13.0,high school,0.0,52222.5,temporarily not at work,female,black
3667,64.0,14.0,high school,0.0,17407.5,working full time,female,black
3669,58.0,18.0,graduate,1.0,34815.0,working full time,female,black
3670,42.0,16.0,graduate,1.0,28485.0,working full time,female,black
3671,26.0,12.0,high school,0.0,13451.25,working part time,female,black
3672,45.0,16.0,graduate,1.0,88620.0,working full time,female,black
3673,29.0,13.0,high school,0.0,,working full time,female,black
3676,32.0,14.0,graduate,1.0,52222.5,working full time,female,black
3677,35.0,16.0,bachelor's,1.0,17407.5,working full time,female,black
3680,45.0,14.0,high school,0.0,34815.0,working full time,female,black
3681,46.0,15.0,high school,0.0,34815.0,working part time,female,black
3682,57.0,14.0,associate/junior college,0.0,,working part time,female,black
3684,50.0,18.0,graduate,1.0,42727.5,temporarily not at work,female,black
3686,58.0,14.0,high school,0.0,42727.5,working full time,female,black
3687,63.0,20.0,graduate,1.0,88620.0,working full time,female,black
3688,47.0,18.0,graduate,1.0,63300.0,working part time,female,black
3690,38.0,14.0,associate/junior college,0.0,52222.5,working full time,female,black
3691,34.0,15.0,high school,0.0,52222.5,working full time,female,black
3694,26.0,12.0,less than high school,0.0,20572.5,working full time,female,black
3695,42.0,13.0,high school,0.0,28485.0,working full time,female,black
3698,41.0,14.0,high school,0.0,52222.5,working full time,female,black
3699,33.0,12.0,high school,0.0,28485.0,working full time,female,black
